"STD_YM","SI_DO_NM","SGNG_NM","ADONG_NM","BLOCK_CD","X_COORD","Y_COORD","MAN_FLOW_POP_CNT_10G","MAN_FLOW_POP_CNT_20G","MAN_FLOW_POP_CNT_30G","MAN_FLOW_POP_CNT_40G","MAN_FLOW_POP_CNT_50G","MAN_FLOW_POP_CNT_60GU","WMAN_FLOW_POP_CNT_10G","WMAN_FLOW_POP_CNT_20G","WMAN_FLOW_POP_CNT_30G","WMAN_FLOW_POP_CNT_40G","WMAN_FLOW_POP_CNT_50G","WMAN_FLOW_POP_CNT_60GU","DATA_LOAD_DT"
"201603","서울특별시","종로구","평창동","11010560200051000001","953887.8125","1957572","0.19","0.76","2.19","2.61","2.32","1.53","0.34","0.75","1.17","1.53","1.54","1.33","2016-05-04 오후 6:31:13"
"201603","서울특별시","종로구","평창동","11010560200051000001","953937.5","1957675","0.07","0.28","0.84","1","0.88","0.56","0.12","0.28","0.45","0.57","0.59","0.51","2016-05-04 오후 6:31:13"
"201603","서울특별시","종로구","평창동","11010560200051000001","954082.5","1957315","0.67","1.95","4.54","5.48","5.21","3.52","1.04","2.04","2.94","3.89","3.98","3.24","2016-05-04 오후 6:31:13"
"201603","서울특별시","종로구","평창동","11010560200031000001","953248.125","1957165","0.35","1.38","4","4.83","4.24","2.76","0.63","1.38","2.17","2.8","2.87","2.48","2016-05-04 오후 6:31:13"
"201603","서울특별시","종로구","평창동","11010560200051000001","954181.6875","1957519","0.27","1.06","3.08","3.72","3.26","2.16","0.48","1.06","1.69","2.13","2.22","1.9","2016-05-04 오후 6:30:53"
"201603","서울특별시","종로구","평창동","11010560200051000001","953839.125","1957624","0.21","0.41","0.61","0.72","0.85","0.6","0.28","0.5","0.6","0.85","0.84","0.63","2016-05-04 오후 6:31:17"
"201603","서울특별시","종로구","평창동","11010560200051000001","953886.6875","1957367","0.28","1.13","3.25","3.94","3.46","2.3","0.52","1.14","1.79","2.28","2.35","2.03","2016-05-04 오후 6:30:53"
"201603","서울특별시","종로구","평창동","11010560200051000001","953984.8125","1957366","0.43","1.22","2.83","3.43","3.25","2.19","0.64","1.28","1.83","2.45","2.52","2.04","2016-05-04 오후 6:30:53"
"201603","서울특별시","종로구","평창동","11010560200051000001","953986.8125","1957726","0.06","0.27","0.77","0.95","0.84","0.54","0.12","0.27","0.43","0.55","0.57","0.48","2016-05-04 오후 6:30:53"
"201603","서울특별시","종로구","평창동","11010560200051000001","954131.3125","1957263","0.9","2.58","5.95","7.19","6.84","4.61","1.3","2.69","3.88","5.12","5.23","4.26","2016-05-04 오후 6:30:53"
"201603","서울특별시","종로구","평창동","11010560200031000001","953101.875","1957320","0.25","0.72","1.65","1.97","1.91","1.23","0.33","0.73","1.07","1.41","1.44","1.16","2016-05-04 오후 6:30:53"
"201603","서울특별시","종로구","평창동","11010560200031000001","953199.125","1957165","0.29","1.22","3.54","4.25","3.76","2.44","0.57","1.2","1.93","2.48","2.55","2.2","2016-05-04 오후 6:30:53"
"201603","서울특별시","종로구","평창동","11010560200031000001","953199.625","1957268","4.39","6.5","10.82","13.44","13.81","11.23","7.42","6.2","10.22","15.14","14.34","11.61","2016-05-04 오후 6:30:53"
