일자,발전기명(WTG),발전기(Serial),발전량(kWh),최저풍속(m-s),평균풍속(m-s),최대풍속(m-s),최소발전량(kW),평균발전량(kW),최대발전량(kW),이용률(백분율),가동율(백분율),발전용량(kW),위치
2019-04-16,WTG01,U113-001,76.904,0.03,1.3619999999999999,6.59,-31.808000000000003,2.838,268.508,0.139,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-17,WTG01,U113-001,1634.521,0.031,2.7510000000000003,8.568,-31.808000000000003,67.521,947.8960000000001,2.9610000000000003,99.9,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-18,WTG01,U113-001,10365.479,0.08900000000000001,5.593999999999999,12.122,-31.369,431.634,2033.557,18.778,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-19,WTG01,U113-001,303.223,0.031,1.4240000000000002,6.112,-31.588,12.21,313.698,0.5489999999999999,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-20,WTG01,U113-001,830.811,0.031,2.187,8.046,-32.905,33.976,464.405,1.505,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-21,WTG01,U113-001,1658.691,0.0,2.112,9.666,-34.879,68.764,1412.3020000000001,3.005,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-22,WTG01,U113-001,45.166000000000004,0.0,1.807,5.22,-31.588,1.784,221.12400000000002,0.08199999999999999,99.9,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-23,WTG01,U113-001,8971.558,0.034,4.6419999999999995,12.527999999999999,-32.247,373.501,2380.819,16.253,99.9,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-24,WTG01,U113-001,937.5,0.0,2.367,7.152,-32.027,38.625,467.476,1.6980000000000002,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-25,WTG01,U113-001,3085.205,0.0,3.0780000000000003,9.44,-43.215,127.927,1243.387,5.5889999999999995,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-26,WTG01,U113-001,15854.736,0.37799999999999995,5.897,12.524000000000001,-31.588,660.498,2378.625,28.721999999999998,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-27,WTG01,U113-001,5914.307,0.032,3.8989999999999996,10.389000000000001,-32.685,246.046,1643.079,10.714,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-28,WTG01,U113-001,694.824,0.035,2.3169999999999997,6.803,-31.15,28.636999999999997,340.9,1.2590000000000001,100.0,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
2019-04-29,WTG01,U113-001,4446.777,0.0,3.53,9.676,-31.588,163.907,1492.152,8.056000000000001,99.5,2300,"전남 영광군 백수읍 하사리, 약수리, 염산면 일원"
