날짜,발전기명,주소,설비용량(MW),일일발전량(Wh)
2018-09-01,광양항태양광,전남 광양시 도이동 775,2.3,2656800
2018-09-02,광양항태양광,전남 광양시 도이동 775,2.3,3924000
2018-09-03,광양항태양광,전남 광양시 도이동 775,2.3,1153800
2018-09-04,광양항태양광,전남 광양시 도이동 775,2.3,9135000
2018-09-05,광양항태양광,전남 광양시 도이동 775,2.3,7520400
2018-09-06,광양항태양광,전남 광양시 도이동 775,2.3,3151800
2018-09-07,광양항태양광,전남 광양시 도이동 775,2.3,3713400
2018-09-08,광양항태양광,전남 광양시 도이동 775,2.3,3497400
2018-09-09,광양항태양광,전남 광양시 도이동 775,2.3,8659800
2018-09-10,광양항태양광,전남 광양시 도이동 775,2.3,8760600
2018-09-11,광양항태양광,전남 광양시 도이동 775,2.3,6184800
2018-09-12,광양항태양광,전남 광양시 도이동 775,2.3,7862400
2018-09-13,광양항태양광,전남 광양시 도이동 775,2.3,2151000
2018-09-14,광양항태양광,전남 광양시 도이동 775,2.3,3420000
2018-09-15,광양항태양광,전남 광양시 도이동 775,2.3,1251000
2018-09-16,광양항태양광,전남 광양시 도이동 775,2.3,7090200
2018-09-17,광양항태양광,전남 광양시 도이동 775,2.3,5187600
2018-09-18,광양항태양광,전남 광양시 도이동 775,2.3,7884000
2018-09-19,광양항태양광,전남 광양시 도이동 775,2.3,3405600
2018-09-20,광양항태양광,전남 광양시 도이동 775,2.3,2442600
2018-09-21,광양항태양광,전남 광양시 도이동 775,2.3,1171800
2018-09-22,광양항태양광,전남 광양시 도이동 775,2.3,8233200
2018-09-23,광양항태양광,전남 광양시 도이동 775,2.3,7259400
2018-09-24,광양항태양광,전남 광양시 도이동 775,2.3,4449600
2018-09-25,광양항태양광,전남 광양시 도이동 775,2.3,9016200
2018-09-26,광양항태양광,전남 광양시 도이동 775,2.3,6595200
2018-09-27,광양항태양광,전남 광양시 도이동 775,2.3,8830800
2018-09-28,광양항태양광,전남 광양시 도이동 775,2.3,6418800
2018-09-29,광양항태양광,전남 광양시 도이동 775,2.3,2745000
2018-09-30,광양항태양광,전남 광양시 도이동 775,2.3,7995600
2018-10-01,광양항태양광,전남 광양시 도이동 775,2.3,7084800
2018-10-02,광양항태양광,전남 광양시 도이동 775,2.3,8337600
2018-10-03,광양항태양광,전남 광양시 도이동 775,2.3,8168400
2018-10-04,광양항태양광,전남 광양시 도이동 775,2.3,6078600
2018-10-05,광양항태양광,전남 광양시 도이동 775,2.3,1258200
2018-10-06,광양항태양광,전남 광양시 도이동 775,2.3,4242600
2018-10-07,광양항태양광,전남 광양시 도이동 775,2.3,8080200
2018-10-08,광양항태양광,전남 광양시 도이동 775,2.3,8195400
2018-10-09,광양항태양광,전남 광양시 도이동 775,2.3,3189600
2018-10-10,광양항태양광,전남 광양시 도이동 775,2.3,5479200
2018-10-11,광양항태양광,전남 광양시 도이동 775,2.3,7983000
2018-10-12,광양항태양광,전남 광양시 도이동 775,2.3,7565400
2018-10-13,광양항태양광,전남 광양시 도이동 775,2.3,7561800
2018-10-14,광양항태양광,전남 광양시 도이동 775,2.3,6519600
2018-10-15,광양항태양광,전남 광양시 도이동 775,2.3,6791400
2018-10-16,광양항태양광,전남 광양시 도이동 775,2.3,2736000
2018-10-17,광양항태양광,전남 광양시 도이동 775,2.3,6593400
2018-10-18,광양항태양광,전남 광양시 도이동 775,2.3,7039800
2018-10-19,광양항태양광,전남 광양시 도이동 775,2.3,7122600
2018-10-20,광양항태양광,전남 광양시 도이동 775,2.3,6816600
2018-10-21,광양항태양광,전남 광양시 도이동 775,2.3,6850800
2018-10-22,광양항태양광,전남 광양시 도이동 775,2.3,4431600
2018-10-23,광양항태양광,전남 광양시 도이동 775,2.3,4626000
2018-10-24,광양항태양광,전남 광양시 도이동 775,2.3,6375600
2018-10-25,광양항태양광,전남 광양시 도이동 775,2.3,6395400
2018-10-26,광양항태양광,전남 광양시 도이동 775,2.3,925200
2018-10-27,광양항태양광,전남 광양시 도이동 775,2.3,4636800
2018-10-28,광양항태양광,전남 광양시 도이동 775,2.3,6161400
2018-10-29,광양항태양광,전남 광양시 도이동 775,2.3,5443200
2018-10-30,광양항태양광,전남 광양시 도이동 775,2.3,6719400
2018-10-31,광양항태양광,전남 광양시 도이동 775,2.3,6044400
2018-11-01,광양항태양광,전남 광양시 도이동 775,2.3,6397200
2018-11-02,광양항태양광,전남 광양시 도이동 775,2.3,6145200
2018-11-03,광양항태양광,전남 광양시 도이동 775,2.3,5659200
2018-11-04,광양항태양광,전남 광양시 도이동 775,2.3,5855400
2018-11-05,광양항태양광,전남 광양시 도이동 775,2.3,5549400
2018-11-06,광양항태양광,전남 광양시 도이동 775,2.3,4960800
2018-11-07,광양항태양광,전남 광양시 도이동 775,2.3,2010600
2018-11-08,광양항태양광,전남 광양시 도이동 775,2.3,104400
2018-11-09,광양항태양광,전남 광양시 도이동 775,2.3,3727800
2018-11-10,광양항태양광,전남 광양시 도이동 775,2.3,5704200
2018-11-11,광양항태양광,전남 광양시 도이동 775,2.3,3438000
2018-11-12,광양항태양광,전남 광양시 도이동 775,2.3,4933800
2018-11-13,광양항태양광,전남 광양시 도이동 775,2.3,5333400
2018-11-14,광양항태양광,전남 광양시 도이동 775,2.3,5603400
2018-11-15,광양항태양광,전남 광양시 도이동 775,2.3,4834800
2018-11-16,광양항태양광,전남 광양시 도이동 775,2.3,1465200
2018-11-17,광양항태양광,전남 광양시 도이동 775,2.3,5367600
2018-11-18,광양항태양광,전남 광양시 도이동 775,2.3,1409400
2018-11-19,광양항태양광,전남 광양시 도이동 775,2.3,4818600
2018-11-20,광양항태양광,전남 광양시 도이동 775,2.3,5238000
2018-11-21,광양항태양광,전남 광양시 도이동 775,2.3,1792800
2018-11-22,광양항태양광,전남 광양시 도이동 775,2.3,5248800
2018-11-23,광양항태양광,전남 광양시 도이동 775,2.3,4728600
2018-11-24,광양항태양광,전남 광양시 도이동 775,2.3,1564200
2018-11-25,광양항태양광,전남 광양시 도이동 775,2.3,4518000
2018-11-26,광양항태양광,전남 광양시 도이동 775,2.3,4586400
2018-11-27,광양항태양광,전남 광양시 도이동 775,2.3,4933800
2018-11-28,광양항태양광,전남 광양시 도이동 775,2.3,4199400
2018-11-29,광양항태양광,전남 광양시 도이동 775,2.3,4296600
2018-11-30,광양항태양광,전남 광양시 도이동 775,2.3,4269600
2018-12-01,광양항태양광,전남 광양시 도이동 775,2.3,2833200
2018-12-02,광양항태양광,전남 광양시 도이동 775,2.3,4028400
2018-12-03,광양항태양광,전남 광양시 도이동 775,2.3,905400
2018-12-04,광양항태양광,전남 광양시 도이동 775,2.3,1963800
2018-12-05,광양항태양광,전남 광양시 도이동 775,2.3,4746600
2018-12-06,광양항태양광,전남 광양시 도이동 775,2.3,1949400
2018-12-07,광양항태양광,전남 광양시 도이동 775,2.3,2966400
2018-12-08,광양항태양광,전남 광양시 도이동 775,2.3,4336200
2018-12-09,광양항태양광,전남 광양시 도이동 775,2.3,4748400
2018-12-10,광양항태양광,전남 광양시 도이동 775,2.3,4762800
2018-12-11,광양항태양광,전남 광양시 도이동 775,2.3,1112400
2018-12-12,광양항태양광,전남 광양시 도이동 775,2.3,4707000
2018-12-13,광양항태양광,전남 광양시 도이동 775,2.3,4429800
2018-12-14,광양항태양광,전남 광양시 도이동 775,2.3,4743000
2018-12-15,광양항태양광,전남 광양시 도이동 775,2.3,4516200
2018-12-16,광양항태양광,전남 광양시 도이동 775,2.3,1191600
2018-12-17,광양항태양광,전남 광양시 도이동 775,2.3,2989800
2018-12-18,광양항태양광,전남 광양시 도이동 775,2.3,4527000
2018-12-19,광양항태양광,전남 광양시 도이동 775,2.3,3448800
2018-12-20,광양항태양광,전남 광양시 도이동 775,2.3,1215000
2018-12-21,광양항태양광,전남 광양시 도이동 775,2.3,2655000
2018-12-22,광양항태양광,전남 광양시 도이동 775,2.3,3657600
2018-12-23,광양항태양광,전남 광양시 도이동 775,2.3,4273200
2018-12-24,광양항태양광,전남 광양시 도이동 775,2.3,4829400
2018-12-25,광양항태양광,전남 광양시 도이동 775,2.3,2921400
2018-12-26,광양항태양광,전남 광양시 도이동 775,2.3,3841200
2018-12-27,광양항태양광,전남 광양시 도이동 775,2.3,4854600
2018-12-28,광양항태양광,전남 광양시 도이동 775,2.3,4827600
2018-12-29,광양항태양광,전남 광양시 도이동 775,2.3,4798800
